review,rating
"The Mi Dual driver headphones delivers more than expected on one aspect - Bass. And there's bucket loads of it and that too without compromising too much on clarity.
This is my initial impression after using this headphone for almost 4 hours continuously. I will update this review with all other aspects and comparisons once I burn this in.

Edit : 9th March2020:
Before going into the review I own Mi in ear headphones pro, Vsonic GR02 Bass edition, Signature Acoustics Elements V2.1, Sennheisser HD598 SE, Realme Buds 2 and had Soundmagic E10. So I think I know a few things related to headphones when I compare them.
1. Design : Fairly standard design with a Y connector cable, 125 cm long braided cable which does not entangle and unfolds very easily. Kudos to that. I previously had Mi in ear headphones pro which entangled like anything. But from the splitter onward the cable is rubber and it does entangle a bit, but that potion is less luckily. The earbuds are made of anodised aluminium with rubber eartips. The ear buds does have magnets like realme earbuds and are relatively strong and helps to keep them stay together. No magnetic on off feature present.
2. Comfort : Nothing much to brag about here. It is comfortable like any other earphone and you'll be able to sleep on your side while wearing it.
3. Sound : BASS, BASS, BASS. That is what this is made for. It is dark and has tons of it.
Mids and high - the mids and high are somewhat overpowered by the bass which is bloated at times. But for the price it is OK. The male voice especially nasal tones seem a little upfront and unpleasant at times. For audiobooks and podcasts, it's easier to hear even in outdoors. The high or treble is where all the problems are. The treble is almost nonexistent. You'll need to adjust your equalizer a little bit to get the desired amount of treble to your liking.
Sound stage- affected by the bloated bass and less treble. The sound seems to be center staged and differentiating between instruments seems difficult.
4. Sound Isolation: Decent and comparable with others in the same price range.
5. Mic- It is of quite good quality with the person at the other end never experiencing any difficulties. The sound was very clear without much background noises and was clear. The mic is present in the right-side cable.
6. Value for money: this is a decent buy at a price of 799rs.

Final words: This headphone is made for the BASS-lovers. There is so much bass that it overpowers almost everything else. If you want a more round bodied sound you'll have to fiddle with the equaliser a little bit and once you does that you have got a decent pair of headphones with a very good mic. Even though a dual driver earphone, it doesn't live up to its name or its advertisements. Out of the box, it has nothing but bass. You'll get a much better sound in Sennheiser CX180, but it doesn't have a mic. For the price of 799, you have got a headphone which is better than the Boats Bassheads 225 and Realme buds 2. BUT, if you patiently wait and watch for lightning deals, you may find the Signature Acoustics Elements C12 version 2.1 @ 749 rs which is an absolute gem and trumps the Mi earphone on every aspect except for the muddy bass which is very clear in it. Also you get a foam tip with the signatures which in itself costs more than 200rs each pair.

So, the decision is all yours. For you, bass lovers, go ahead and buy it, you won't regret it. For pure sound lovers/audiophiles stay away.
Take your buying decision wisely.
Cheers!!!!",4.0 out of 5 stars
"I Brought this earphone 3 days back, After seeing many reviews i got this earphone but finally i got is earpain. Sound Quality is ok , Build Quality is also fine but the only big negative is, its paining after 15min to 30min of wearing in my ear, if anyone is reading my reviews please consider the earpain even its is third day its was paining,then i think to return this product but there is no return option only replacement was given , i think its was an bad thing we i cant return this product and get our
money back , ok let's see any improvements was happen will write an review after some days or once its stop working",4.0 out of 5 stars
All over is good but ear fiiting is not well.,4.0 out of 5 stars
"100% Value for money product.
BASS was awesome
Noise Cancellation During Call on bike is awesome",4.0 out of 5 stars
"Bass quality is good ... Treble sound is good... Clear and crisp sound... And mic quality is also good... The thing is don't like is earphone's wire, in product description it said that it's tangle free... But trust me it has most tangling wires and soon you gonna damage your earphones because of it. Apart from it... Good product",4.0 out of 5 stars
wire should be more better for 800 but under 500 rs it impressive,4.0 out of 5 stars
"Products sound Quality was super and Bass was too good
The cable was good but sometimes it tied up",4.0 out of 5 stars
Ear pan 🥺,4.0 out of 5 stars
"I have been using this for atleast 3 months. Sound quality is good, build also looks premium. But one problem i faced is that less bass with this earphones. Bass quality is not good.",4.0 out of 5 stars
"Extra Bass is good, but it reduces the vocals and treble, so removing one star.",4.0 out of 5 stars
